entity_id,canonical_name,greek_name,tradition,entity_type,category,primary_domains,tags,cult_scope,primary_period,evidence_confidence,review_status,inclusion_basis,earth_association_score,chthonic_flag,serpent_flag,short_note
ENT_HYDROS,Hydros,,Greek,Protogenos/Primordial,Primordial powers,primordial water,orphic;water,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_PHYSIS,Physis,,Greek,Protogenos/Primordial,Primordial powers,nature,personification;nature,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,4,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_OUREA,Ourea,,Greek,Protogenos/Primordial,Primordial powers,mountains,protogenos;mountain,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_NESOI,Nesoi,,Greek,Protogenos/Primordial,Primordial powers,islands,protogenos;landform,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,4,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_THALASSA,Thalassa,,Greek,Protogenos/Primordial,Primordial powers,sea,protogenos;sea,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_OPHION,Ophion,,Greek,Protogenos/Primordial,Primordial powers,cosmic serpent; early ruler,orphic;serpent,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,2,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_EURYNOME_PRIMORDIAL,Eurynome Primordial,,Greek,Protogenos/Primordial,Primordial powers,creation; sea,creation;sea,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_MOROS,Moros,,Greek,Protogenos/Primordial,Primordial powers,doom,fate;daimon,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,TRUE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_KER,Ker,,Greek,Protogenos/Primordial,Primordial powers,violent death,death;daimon,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,TRUE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_MOIRAI,Moirai,,Greek,Protogenos/Primordial,Primordial powers,fate,fate;collective,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_HESPERUS,Hesperus,,Greek,Protogenos/Primordial,Primordial powers,evening star,star,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_EOSPHORUS,Eosphorus,,Greek,Protogenos/Primordial,Primordial powers,morning star,star,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_SELENE,Selene,,Greek,Protogenos/Primordial,Primordial powers,moon,titanic;celestial,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_HELIOS,Helios,,Greek,Protogenos/Primordial,Primordial powers,sun,titanic;celestial,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_EOS,Eos,,Greek,Protogenos/Primordial,Primordial powers,dawn,titanic;celestial,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Seed entity from primordial/cosmic Greek categories.
ENT_CRONUS,Cronus,,Greek,Titan/Titaness,Titans,kingship; harvest/time by later association,titan,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_RHEA,Rhea,,Greek,Titan/Titaness,Titans,motherhood; mountains,titan;mother goddess,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_OCEANUS,Oceanus,,Greek,Titan/Titaness,Titans,world river; fresh waters,titan;water,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_TETHYS,Tethys,,Greek,Titan/Titaness,Titans,nursing waters; fresh waters,titan;water,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_HYPERION,Hyperion,,Greek,Titan/Titaness,Titans,light; sun ancestry,titan;celestial,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_THEIA,Theia,,Greek,Titan/Titaness,Titans,sight; shining light,titan;celestial,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_COEUS,Coeus,,Greek,Titan/Titaness,Titans,axis of heaven; intelligence,titan,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_PHOEBE,Phoebe,,Greek,Titan/Titaness,Titans,prophecy; radiance,titan;oracle,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_CRIUS,Crius,,Greek,Titan/Titaness,Titans,constellations,titan;celestial,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_EURYBIA,Eurybia,,Greek,Titan/Titaness,Titans,sea power,titan;sea,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_IAPETUS,Iapetus,,Greek,Titan/Titaness,Titans,mortality; ancestor of mankind,titan,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_CLYMENE_TITANESS,Clymene Titaness,,Greek,Titan/Titaness,Titans,renown; mother of Prometheus,titan,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_MNEMOSYNE,Mnemosyne,,Greek,Titan/Titaness,Titans,memory; muses,titan;inspiration,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_THEMIS,Themis,,Greek,Titan/Titaness,Titans,law; divine order; oracles,titan;justice,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_ASTERIA,Asteria,,Greek,Titan/Titaness,Titans,stars; night prophecy,titan;celestial,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_LETO,Leto,,Greek,Titan/Titaness,Titans,motherhood; Apollo and Artemis,titaness,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_ATLAS,Atlas,,Greek,Titan/Titaness,Titans,sky-bearing; endurance,titan;cosmic,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_PROMETHEUS,Prometheus,,Greek,Titan/Titaness,Titans,forethought; fire; human culture,titan;culture hero,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_EPIMETHEUS,Epimetheus,,Greek,Titan/Titaness,Titans,afterthought,titan,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_MENOETIUS,Menoetius,,Greek,Titan/Titaness,Titans,violent anger,titan,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_PERSES_TITAN,Perses Titan,,Greek,Titan/Titaness,Titans,destruction,titan,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_PALLAS_TITAN,Pallas Titan,,Greek,Titan/Titaness,Titans,warcraft,titan,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_ASTRAEUS,Astraeus,,Greek,Titan/Titaness,Titans,stars; winds,titan;celestial,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_DIONE,Dione,,Greek,Titan/Titaness,Titans,oracular goddess; mother of Aphrodite traditions,titaness;oracle,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Titanic generation or associated figure.
ENT_ZEUS,Zeus,,Greek,Olympian god,Olympians,sky; weather; kingship; law,olympian;major cult,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_HERA,Hera,,Greek,Olympian goddess,Olympians,marriage; queenship,olympian;major cult,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_POSEIDON,Poseidon,,Greek,Olympian god,Olympians,sea; earthquakes; horses,olympian;earth-shaker,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,2,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_DEMETER,Demeter,,Greek,Olympian goddess,Agrarian/mystery gods,grain; agriculture; mystery cult,olympian;earth;eleusinian,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_PERSEPHONE,Persephone,,Greek,Chthonic goddess,Underworld/mystery gods,underworld; vegetation cycle; queen of dead,chthonic;eleusinian,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_HADES,Hades,,Greek,Chthonic god,Underworld gods,underworld; dead,chthonic;major,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_PLOUTON,Plouton,,Greek,Chthonic god/title,Underworld/wealth,underground wealth; fertility,chthonic;wealth;cult title,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_ATHENA,Athena,,Greek,Olympian goddess,Olympians,wisdom; warcraft; city protection,olympian;major cult,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_APOLLO,Apollo,,Greek,Olympian god,Olympians,prophecy; music; healing; purification,olympian;oracle,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_ARTEMIS,Artemis,,Greek,Olympian goddess,Olympians,hunting; wilderness; childbirth,olympian;wilderness,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,3,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_ARES,Ares,,Greek,Olympian god,Olympians,war; battle fury,olympian,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_APHRODITE,Aphrodite,,Greek,Olympian goddess,Olympians,love; beauty; fertility,olympian,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_HEPHAESTUS,Hephaestus,,Greek,Olympian god,Craft gods,smithing; metalwork; fire craft,olympian;craft;metals,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,4,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_HERMES,Hermes,,Greek,Olympian god,Olympians,travel; commerce; herds; psychopomp,olympian;psychopomp,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,TRUE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_DIONYSUS,Dionysus,,Greek,Olympian/mystery god,Mystery gods,wine; ecstasy; vegetation; rebirth,mystery;vegetation,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,3,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_HESTIA,Hestia,,Greek,Olympian goddess,Household gods,hearth; household fire,olympian;domestic cult,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_PAN,Pan,,Greek,Rustic god,Rustic gods,mountains; shepherds; wild nature,rustic;mountain,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_HECATE,Hecate,,Greek,Chthonic/liminal goddess,Underworld/magic,crossroads; magic; spirits; thresholds,chthonic;magic;liminal,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,4,TRUE,TRUE,Major or widely attested Greek religious/mythological entity.
ENT_ASCLEPIUS,Asclepius,,Greek,Healing god/deified mortal,Healing/deified mortals,medicine; dream healing; incubation,healing;apotheosis,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,TRUE,Major or widely attested Greek religious/mythological entity.
ENT_EILEITHYIA,Eileithyia,,Greek,Goddess,Birth gods,childbirth,birth cult,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_IRIS,Iris,,Greek,Goddess,Messenger gods,rainbow; divine messenger,messenger,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_NIKE,Nike,,Greek,Goddess/daimon,Personifications,victory,personification,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_TYCHE,Tyche,,Greek,Goddess/daimon,Personifications,fortune; city luck,personification;city goddess,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,1,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_NEMESIS,Nemesis,,Greek,Goddess/daimon,Personifications,retribution; balance,personification;cult,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_DIKE,Dike,,Greek,Goddess/daimon,Personifications,justice,personification,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_EIRENE,Eirene,,Greek,Goddess/daimon,Personifications,peace,personification;Horae,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_EUNOMIA,Eunomia,,Greek,Goddess/daimon,Personifications,good order,personification;Horae,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_HORAE,Horae,,Greek,Goddess collective,Seasonal/order goddesses,seasons; order,collective,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,3,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_CHARITES,Charites,,Greek,Goddess collective,Grace goddesses,grace; beauty; festivity,collective,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_MUSES,Muses,,Greek,Goddess collective,Inspiration goddesses,poetry; music; memory,collective,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_ERINYES,Erinyes,,Greek,Goddess collective,Underworld gods,vengeance; oath punishment,chthonic;collective,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,4,TRUE,TRUE,Major or widely attested Greek religious/mythological entity.
ENT_MOIRAI_85,Moirai,,Greek,Goddess collective,Fate goddesses,fate; life span,collective;fate,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_KOURETES,Kouretes,,Greek,Daimon collective,Rustic/guardian spirits,armed dance; guardianship,collective;rustic,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,2,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_KORYBANTES,Korybantes,,Greek,Daimon collective,Ecstatic attendants,ecstatic dance; mother goddess cult,collective;rustic,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,2,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_CABEIRI,Cabeiri,,Greek,Mystery gods collective,Mystery gods,initiation; protection; craft mystery,mystery;local cult,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,3,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_DIOSCURI,Dioscuri,,Greek,Hero-gods collective,Deified mortals,sailors; horsemen; protection,hero cult;apotheosis,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,0,FALSE,FALSE,Major or widely attested Greek religious/mythological entity.
ENT_ACHERON,Acheron,,Greek,Underworld river god,Underworld/chthonic/local cults,underworld river; pain,chthonic;river,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,"Chthonic, underworld, or local cult seed entity."
ENT_COCYTUS,Cocytus,,Greek,Underworld river god,Underworld/chthonic/local cults,underworld river; lamentation,chthonic;river,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,"Chthonic, underworld, or local cult seed entity."
ENT_LETHE,Lethe,,Greek,Underworld river goddess,Underworld/chthonic/local cults,oblivion; underworld river,chthonic;river,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,"Chthonic, underworld, or local cult seed entity."
ENT_PHLEGETHON,Phlegethon,,Greek,Underworld river god,Underworld/chthonic/local cults,fire river; underworld,chthonic;river,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,"Chthonic, underworld, or local cult seed entity."
ENT_STYX,Styx,,Greek,Oceanid/river goddess,Underworld/chthonic/local cults,oaths; underworld river,chthonic;river;oath,Greek world,Archaic-Classical/Roman reception,A,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,"Chthonic, underworld, or local cult seed entity."
ENT_CHARON,Charon,,Greek,Underworld daimon,Underworld/chthonic/local cults,ferryman of dead,chthonic;psychopomp,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,"Chthonic, underworld, or local cult seed entity."
ENT_THANATOS,Thanatos,,Greek,Daimon,Underworld/chthonic/local cults,death,death;chthonic,Greek world,Archaic-Classical/Roman reception,B,candidate_verified_name,Literary attestation in classical/mythographic tradition; cult evidence varies by entity.,5,TRUE,FALSE,"Chthonic, underworld, or local cult seed entity."
